JAN_CD,SYOHIN_NM,0,1,2,DAIBUNRUI_CD,DAIBUNRUI_NM,CHUBUNRUI_CD,CHUBUNRUI_NM,SHOBUNRUI_CD,SHOBUNRUI_NM,SAIBUNRUI_CD,FREQ
17,ネコ,4.976325307,2.629426353,8.77317172,c800000,生鮮・惣菜,c830000,生鮮野菜,c830300,その他野菜,c830303,8
24,犬,2.259282039,2.812209178,2.472079649,c800000,生鮮・惣菜,c830000,生鮮野菜,c830100,葉茎菜,c830101,10
208,フレンチブル,4.108725304,4.638549256,10.09224493,c800000,生鮮・惣菜,c840000,果物,c840100,生鮮果物,c840115,5
345,かわいい,4.895308669,10.7577197,5.813477429,c800000,生鮮・惣菜,c830000,生鮮野菜,c830300,その他野菜,c830312,7
6009007,大きい,3.523960261,9.72510672,4.702907169,c800000,生鮮・惣菜,c850000,惣菜,c850100,主食的調理食品,c850105,4
6009304,白,5.624368044,5.844305247,4.032722808,c800000,生鮮・惣菜,c850000,惣菜,c850100,主食的調理食品,c850105,10
7011245,ペットフード,1.399071413,7.709765096,6.234324972,c800000,生鮮・惣菜,c850000,惣菜,c850200,その他の調理食品,c850215,10
7011252,病気,9.482392608,4.285626776,8.839055865,c800000,生鮮・惣菜,c850000,惣菜,c850200,その他の調理食品,c850215,6
7059001,飼い主,10.66926517,8.834446296,7.792387405,c800000,生鮮・惣菜,c850000,惣菜,c850200,その他の調理食品,c850213,10
7059612,LOVE,8.100214756,9.796739904,8.785837078,c800000,生鮮・惣菜,c850000,惣菜,c850200,その他の調理食品,c850213,4
7059629,イヌ,9.157011339,8.69249218,9.133051961,c800000,生鮮・惣菜,c850000,惣菜,c850200,その他の調理食品,c850213,3
7144912,ハムスター,2.933366542,6.514260344,7.684948428,c800000,生鮮・惣菜,c850000,惣菜,c850100,主食的調理食品,c850101,6
8020383,うさぎ,3.471407073,5.939160905,10.55965033,c100000,食　品,c110000,加工食品,c111300,パン・シリアル類,c111301,6
8022127,保険,8.881020007,3.734241513,7.431233163,c100000,食　品,c110000,加工食品,c111300,パン・シリアル類,c111301,9
8022134,病気,4.39307637,5.974496605,7.543971804,c100000,食　品,c110000,加工食品,c111300,パン・シリアル類,c111301,1
9670365,オフ会,10.49146126,7.642110697,10.13854114,c100000,食　品,c110000,加工食品,c111300,パン・シリアル類,c111305,7
45019517,世田谷,9.373623216,3.555290337,4.757897413,c100000,食　品,c140000,飲料・酒類,c140300,清涼飲料,c140323,8
45044182,インコ,7.916237942,7.638583522,10.40472694,c100000,食　品,c130000,菓子類,c130100,菓子,c130125,5
45075469,トイレ,7.64608206,4.821731281,8.240429586,c100000,食　品,c130000,菓子類,c130100,菓子,c130125,6
45075476,家族,8.63501576,1.887312484,4.145092363,c100000,食　品,c130000,菓子類,c130100,菓子,c130125,5
45077333,写真,3.00108009,7.024412112,6.403605408,c100000,食　品,c190000,その他食品,c190200,健康食品,c190201,8
45091520,公園,4.353946169,7.039429011,8.138176915,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,10
45091568,散歩,6.809194179,9.305981202,3.397097332,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,8
45104916,プードル,6.909468891,7.272498313,8.945374419,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,6
45116568,チワワ,4.554909177,7.168533216,6.471399574,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,9
45117961,カメレオン,5.437013337,5.118167932,2.094930528,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,5
45126420,近所づきあい,9.3363101,6.082196957,6.931253252,c100000,食　品,c130000,菓子類,c130100,菓子,c130125,6
45126437,ダミー１,2.899943477,5.477190311,9.689038734,c100000,食　品,c130000,菓子類,c130100,菓子,c130125,4
45141157,ダミー2,1.444655641,9.781770213,8.093801843,c100000,食　品,c130000,菓子類,c130100,菓子,c130121,8
45141164,ダミー３,8.921359887,8.625190633,3.562857059,c100000,食　品,c130000,菓子類,c130100,菓子,c130121,4
45147173,ダミー４,4.762705326,10.49614282,5.181318072,c100000,食　品,c130000,菓子類,c130100,菓子,c130123,5
45166211,ダミー５,6.45281376,10.35032825,5.253566714,c100000,食　品,c130000,菓子類,c130100,菓子,c130125,6
45166228,ダミー６,2.758109922,1.862427742,7.713799635,c100000,食　品,c130000,菓子類,c130100,菓子,c130125,2
45173639,ダミー７,9.515077499,9.64838287,8.141259981,c100000,食　品,c130000,菓子類,c130100,菓子,c130123,1
45173646,ダミー８,5.164451444,6.691512465,1.956593039,c100000,食　品,c130000,菓子類,c130100,菓子,c130123,10
45173653,ダミー９,4.618329162,7.138596847,6.822447107,c100000,食　品,c130000,菓子類,c130100,菓子,c130123,8
45184703,ダミー１０,7.913298483,2.312898695,3.841061458,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,8
45184710,ダミー１１,3.790617445,9.022156381,2.857983559,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,9
45184888,ダミー１２,3.406945699,7.571366906,1.389394741,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130203,6
45185922,ダミー１３,3.841650915,8.247744502,1.526567841,c100000,食　品,c110000,加工食品,c110300,スプレッド類,c110303,7
45186424,ダミー１４,3.290502627,1.605507591,8.744274653,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,3
45189630,ダミー１５,10.78218727,10.37268796,1.201687734,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,6
45189760,ダミー１６,9.822351699,2.960767358,5.774551431,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,9
45190292,ダミー１７,8.512142332,4.92162586,1.125823458,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,7
45191749,ダミー１８,8.792573009,1.279132334,7.909192165,c100000,食　品,c140000,飲料・酒類,c140300,清涼飲料,c140305,9
45191763,ダミー１９,8.672865648,10.31267579,1.890450658,c100000,食　品,c140000,飲料・酒類,c140300,清涼飲料,c140315,5
45191848,ダミー２０,2.992277041,5.89736318,7.457440258,c100000,食　品,c140000,飲料・酒類,c140300,清涼飲料,c140315,3
45191961,ダミー２１,9.071497971,5.79255213,3.226576921,c100000,食　品,c140000,飲料・酒類,c140300,清涼飲料,c140313,4
45201400,ダミー２２,3.77882722,2.343268186,7.54380004,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,5
45205460,ダミー２３,4.954211861,3.737996672,3.444114198,c100000,食　品,c130000,菓子類,c130100,菓子,c130125,3
45207075,ダミー２４,8.959708096,2.675701399,4.716191342,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,1
45207082,ダミー２５,8.552193584,8.167545803,5.185267807,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,1
45207099,ダミー２６,6.951833753,9.363720094,8.138369662,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,5
45210624,ダミー２７,1.441445392,3.320365811,10.18154151,c100000,食　品,c140000,飲料・酒類,c140400,乳飲料,c140407,9
45211935,ダミー２８,2.647861164,3.19432478,8.20067048,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,10
45216435,ダミー２９,3.885785552,4.422784661,1.876202075,c100000,食　品,c130000,菓子類,c130100,菓子,c130123,10
45216602,ダミー３０,8.064800697,6.700622663,2.841888994,c100000,食　品,c140000,飲料・酒類,c140400,乳飲料,c140405,1
45216961,ダミー３１,6.457059056,4.488387257,7.113156072,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,2
45216978,ダミー３２,9.625411234,5.821097137,8.93843071,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,10
45217005,ダミー３３,1.365213036,1.037531283,6.043929887,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,2
45217043,ダミー３４,6.895688285,2.651273534,6.543959696,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,6
45217050,ダミー３５,7.436373926,9.655362507,6.631274823,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,8
45623141,ダミー３６,10.28261356,8.326884486,7.345222448,c100000,食　品,c130000,菓子類,c130100,菓子,c130123,3
49111224,ダミー３７,3.207811232,9.547012115,3.234631699,c100000,食　品,c110000,加工食品,c110100,調味料,c110133,10
49147650,ダミー３８,4.174930053,7.008483928,5.581536208,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,5
49151947,ダミー３９,6.480602636,6.337117109,3.33033196,c100000,食　品,c140000,飲料・酒類,c140300,清涼飲料,c140315,7
49169140,ダミー４０,8.607031488,6.823681248,4.922937439,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,8
49202199,ダミー４１,4.825897471,4.850131958,3.129998102,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130203,10
49202304,ダミー４２,10.56827776,3.641881933,10.90523716,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,2
49202328,ダミー４３,5.566989341,3.04142056,9.412110942,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130203,2
49212877,ダミー４４,8.070323066,3.711127732,6.969175622,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,2
49265200,ダミー４５,5.66679038,7.410344226,8.388478081,c100000,食　品,c140000,飲料・酒類,c140200,果実飲料,c140211,9
49368307,ダミー４６,9.386284787,3.664985592,5.090794799,c100000,食　品,c130000,菓子類,c130100,菓子,c130125,9
49377736,ダミー４７,7.034653446,7.51055611,6.298591457,c800000,生鮮・惣菜,c860000,卵,c860100,鶏卵,c860101,1
49377736,ダミー４８,9.533627642,1.228962991,3.99953401,c800000,生鮮・惣菜,c860000,卵,c860100,鶏卵,c860101,2
49377743,ダミー４９,4.899213354,9.21728086,1.362153783,c800000,生鮮・惣菜,c860000,卵,c860100,鶏卵,c860101,6
49377804,ダミー５０,5.760274306,8.033208037,3.489382578,c800000,生鮮・惣菜,c860000,卵,c860100,鶏卵,c860101,10
49377842,ダミー５１,9.528024443,10.54903025,3.857797154,c800000,生鮮・惣菜,c860000,卵,c860100,鶏卵,c860101,1
49386288,ダミー５２,3.668945295,9.16539915,7.052712981,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,7
49386776,ダミー５３,9.667168548,5.565887603,3.327634288,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,2
49408188,ダミー５４,5.321825034,10.24936162,2.232036202,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,7
49408485,ダミー５５,1.313219346,2.954496988,4.667285064,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,1
49410150,ダミー５６,2.002958764,1.925681402,3.34554092,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130203,10
49410402,ダミー５７,8.816079625,8.336768346,2.239754475,c100000,食　品,c140000,飲料・酒類,c140400,乳飲料,c140497,6
49410471,ダミー５８,10.83019445,1.470283421,8.956560924,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,4
49410686,ダミー５９,10.64208778,5.454087884,9.0047948,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,9
49410952,ダミー６０,10.42630575,4.778572975,9.998531889,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130203,2
49415780,ダミー６１,3.986539886,5.990383976,7.19313977,c100000,食　品,c130000,菓子類,c130100,菓子,c130131,5
49431858,ダミー６２,3.022608983,8.477054164,9.074835949,c100000,食　品,c130000,菓子類,c130100,菓子,c130121,3
49431902,ダミー６３,7.737540071,1.393176796,8.837172571,c100000,食　品,c130000,菓子類,c130100,菓子,c130121,9
49453904,ダミー６４,4.190737618,6.092356475,1.222235982,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,10
49459319,ダミー６５,4.276688145,2.075951069,6.556684626,c100000,食　品,c130000,菓子類,c130100,菓子,c130125,5
49480795,ダミー６６,2.509662845,5.567423314,9.73224345,c100000,食　品,c130000,菓子類,c130100,菓子,c130131,1
49480825,ダミー６７,5.427102141,8.513968145,5.254498179,c100000,食　品,c130000,菓子類,c130100,菓子,c130131,1
49480832,ダミー６８,2.619108843,2.096091205,1.101383966,c100000,食　品,c130000,菓子類,c130100,菓子,c130131,1
49480856,ダミー６９,8.8671706,7.526063475,4.208389097,c100000,食　品,c130000,菓子類,c130100,菓子,c130131,2
49480863,ダミー７０,8.114643792,2.339711111,6.407033492,c100000,食　品,c130000,菓子類,c130100,菓子,c130131,2
49507973,ダミー７１,1.059269777,7.992127419,3.664524315,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,3
49536225,ダミー７２,1.754170527,8.597570685,4.486153122,c100000,食　品,c130000,菓子類,c130100,菓子,c130121,6
49541434,ダミー７３,3.187893795,8.919529928,6.217989747,c200000,日用品,c230000,化粧品,c232800,男性化粧品,c232801,4
